번호                                                                                                                                       (01.6월 기준),주소
283,"서울특별시 중구 을지로 을지로가, 기업은행본점 앞 버스정류장 0-158"
284,"서울특별시 중구 을지로 을지로가, 기업은행본점 앞 버스정류장 0-158"
285,"서울특별시 중구 을지로 을지로가, 파인에비뉴 앞 버스정류장(0-159)"
286,"서울특별시 중구 을지로 을지로가, 파인에비뉴 앞 버스정류장(0-159)"
287,서울특별시 중구 을지로 을지로3가 버스정류장(0-161)
288,서울특별시 중구 을지로 을지로3가 버스정류장(0-161)
289,서울특별시 중구 을지로 을지로 3가 1번출구 뒤
290,서울특별시 중구 을지로 을지로 3가 1번출구 뒤
291,서울특별시 중구 남대문로 북창동.남대문시장 버스정류장(0-17)
292,서울특별시 중구 남대문로 북창동.남대문시장 버스정류장(0-17)
293,서울특별시 중구 소공로 시청광장 버스정류장(0-641)
294,서울특별시 중구 소공로 시청광장 버스정류장(0-641)
295,서울특별시 중구 을지로 을지로입구.시청입구(0-157)
296,서울특별시 중구 을지로 을지로입구.시청입구(0-157)
297,서울특별시 중구 남대문로 우리은행종로지점 버스정류장(0-139)
298,서울특별시 중구 남대문로 우리은행종로지점 버스정류장(0-139)
299,서울특별시 중구 청계천로 청계1가.광교 버스정류장(0-4)
300,서울특별시 중구 청계천로 청계1가.광교 버스정류장(0-4)
301,서울특별시 중구 을지로 을지로3가 3번출구
302,서울특별시 중구 을지로 을지로3가 3번출구
303,서울특별시 중구 을지로 을지로3가 대림상가 버스정류장(0-16)
304,서울특별시 중구 을지로 을지로3가 대림상가 버스정류장(0-16)
305,서울특별시 중구 을지로 을지로5가 방산시장앞 버스정류장(0-7)
306,서울특별시 중구 을지로 을지로5가 방산시장앞 버스정류장(0-7)
307,서울특별시 중구 을지로 을지로5가 중부시장 버스정류장(0-166)
308,서울특별시 중구 을지로 을지로5가 중부시장 버스정류장(0-166)
309,서울특별시 중구 을지로 을지로6가 국립의료원 앞 버스정류장(0-17)
310,서울특별시 중구 을지로 을지로6가 국립의료원 앞 버스정류장(0-17)
311,서울특별시 중구 을지로 을지로6가 둘둘치킨 버스정류장(0-169)
312,서울특별시 중구 을지로 을지로6가 둘둘치킨 버스정류장(0-169)
313,서울특별시 중구 장충단로 장충단로 파리바게트(장충점) 앞 버스정류장(0-04)
314,서울특별시 중구 장충단로 장충단로 파리바게트(장충점) 앞 버스정류장(0-04)
315,서울특별시 중구 을지로 을지로 4가 로터리 농협 앞 (버스정류장 0-165)
316,서울특별시 중구 을지로 을지로 4가 로터리 농협 앞 (버스정류장 0-165)
317,서울특별시 중구 을지로 을지로 4가역 버스정류장 0-163
318,서울특별시 중구 을지로 을지로 4가역 버스정류장 0-163
319,서울특별시 중구 충무로 충무로역 7번출구 매일경제신문 버스정류장(0-4)
320,서울특별시 중구 충무로 충무로역 7번출구 매일경제신문 버스정류장(0-4)
321,서울특별시 중구 충무로 충무로역번출구 대한극장 앞버스정류(0-153)
322,서울특별시 중구 충무로 충무로역번출구 대한극장 앞버스정류(0-153)
323,서울특별시 중구 충무로 충무로역8번출구.대한극장앞 버스정류장(0-154)
324,서울특별시 중구 충무로 충무로역8번출구.대한극장앞 버스정류장(0-154)
325,서울특별시 중구 퇴계로 퇴계로6가 CJ제일제당 앞 정류장 0-06
326,서울특별시 중구 퇴계로 퇴계로6가 CJ제일제당 앞 정류장 0-06
327,서울특별시 중구 퇴계로 퇴계로6가 버스정류장 0-05
328,서울특별시 중구 퇴계로 퇴계로6가 버스정류장 0-05
